GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ead-gamificada,com.ead_gamificada.entity,Aluno,3,21,0,0,1,9,1,6,1,6
ead-gamificada,com.ead_gamificada.entity,Email,33,25,6,4,7,7,7,4,3,3
ead-gamificada,com.ead_gamificada.entity,CursoComprado,3,28,0,0,1,12,1,8,1,8
ead-gamificada,com.ead_gamificada.entity,Custo,41,26,6,4,7,7,7,4,3,3
ead-gamificada,com.ead_gamificada.entity,Curso,3,28,0,0,1,12,1,8,1,8
ead-gamificada,com.ead_gamificada.entity,Pagamento,41,26,6,4,7,7,7,4,3,3
ead-gamificada,com.example.ead_gamificada,EadGamificadaApplication,7,3,0,0,3,1,2,1,2,1
ead-gamificada,com.ead_gamificada.controller,AlunoController,37,0,2,0,8,0,6,0,5,0
ead-gamificada,com.ead_gamificada.controller,CursoCompradoController,37,0,2,0,8,0,6,0,5,0
ead-gamificada,com.ead_gamificada.controller,CursoController,37,0,2,0,8,0,6,0,5,0
ead-gamificada,com.ead_gamificada.service,CursoService,6,20,0,0,1,5,1,4,1,4
ead-gamificada,com.ead_gamificada.service,CursoCompradoService,0,26,0,0,0,6,0,5,0,5
ead-gamificada,com.ead_gamificada.service,AlunoService,0,26,0,0,0,6,0,5,0,5
ead-gamificada,com.ead_gamificada.dto,AlunoDTO,24,0,0,0,10,0,7,0,7,0
ead-gamificada,com.ead_gamificada.dto,CursoCompradoDTO,31,0,0,0,13,0,9,0,9,0
ead-gamificada,com.ead_gamificada.dto,CursoDTO,31,0,0,0,13,0,9,0,9,0
